fullVisitorId,transacciones
5021888768610000663,1
7395718173947720444,1
4574431826625163321,1
9293223521534878892,1
1762540039573649288,1
7194598190853071809,1
2366243354794689639,1
0169854884741652554,1
8800304863528971642,1
195434588004709231,1
3131378609982399583,1
9076419614508247108,1
2134229956335427014,1
7169974092956652971,1
444821471625212420,1
0668741043882663600,1
3140693833607536032,1
4901167500019826035,1
1413421667450087159,1
2872390777688988558,1
3702504149982325265,1
9199984406158134288,1
7559458489771407786,1
0249659095832018179,1
6885840890081039756,1
5614933090112217012,1
4871978976437661341,1
7487437966424965141,1
1311682260438379600,1
6198200760309203581,1
9926655339980503224,1
336251173702144221,1
1140574847502258865,1
6140447030610096925,1
6414469815060591671,1
2105122376016897629,1
2266837403735683845,1
2522954230696043073,1
0640433429877929929,1
6642261851584081073,1
1751309915031023278,1
3424918216070852195,1
3310309019453934499,1
0604314853571328266,1
3743916662879082495,1
9846963060470956023,1
397440133393463294,1
5840295243911523760,1
1247282406356396417,1
3854579461029873656,1
8382560140451028355,1
5962830800899970265,1
3210357805056492900,1
6752966524308578195,1
3694234028523165868,1
2760610370970936430,1
5569275433551045400,1
9460311742865907976,1
3117858606721790013,1
8197879643797712877,1
0975931442450346746,1
7171943038143298955,1
3813195472927677467,1
5322397769480961983,1
8230689683989624083,1
3551040750443861038,1
6274615038428740035,1
8930278305459563871,1
6486795623038216247,1
330062846836232829,1
0953889584295924240,1
3117505679893009709,1
0080479763428955064,1
7797161228996458724,1
7880178108492772399,1
1712066703099487652,1
746996333765865062,1
4640309372934566564,1
2049749565428127211,1
1166095149523935137,1
5256372508003021503,1
6284948773679645206,1
4827442520440231767,1
4013470531611520402,1
7401384748988164586,1
2438001988287339845,1
3747999856310382299,1
8021812938751479108,1
2736979716085988579,1
623238387362841295,1
0633547848089854806,1
1693439860882386132,1
5923041114491111329,1
2256968435490294758,1
746147040518715564,1
3931961473816782577,1
1677668617700674850,1
0884726487864103521,1
0878293552935562825,1
8076506950151787875,1
8972388387130785286,1
2929956217778331899,1
0006911334202687206,1
2637714150350706913,1
8737287377964426748,1
9495542473910378037,1
4332781117641254031,1
3912300160509220549,1
6400178996598013044,1
819296301112227931,1
7054256782754973251,1
1868405397995157975,1
2527677375017653674,1
42872006688710090,1
3822207688294082684,1
7372141474604813858,1
1216838692754057393,1
8821726080717309200,1
306293428725549657,1
3028560396160352119,1
0372741889888882659,1
7859759557446158559,1
6081065027477521968,1
8719867302995619824,1
875410720669459903,1
4241769030360346425,1
8133234491242505022,1
6822029585974279558,1
6979205517954044794,1
4531918958295106898,1
5355878105237295955,1
1152177248793735167,1
5823529938186171963,1
2352548628524812063,1
7517029078565627714,1
2610708601231231422,1
972856631604465767,1
2364782563241908647,1
5975789416845370133,1
5369585818624352954,1
6338909403180350961,1
3061154222126395175,1
6335554848851534266,1
6005829572969771144,1
107029174520648874,1
1338601940113408411,1
5441957633456467994,1
0456807427403774085,1
947967641100341579,1
1973770164859106217,1
1424707127501880055,1
8804905634731085002,1
3471594580435227032,1
8220211701749350854,1
5063074873295543663,1
990017562279683512,1
3058457482106046803,1
8525552808729629890,1
8912902059525758308,1
4902563928132780662,1
5342879446684210628,1
5587285412268223147,1
5671688466209278718,1
3179916194458138070,1
2314697698664321051,1
4708133624098231997,1
5735858296023788680,1
6443595642175123029,1
873320659256976904,1
8540688286241364465,1
8009185599443907717,1
0951967559171152344,1
1051896220301954151,1
2199373686188473715,1
5816514381907176001,1
15618322761092379,1
1727715375435944327,1
2422865366235727605,1
8364082612050395902,1
5991536664355896877,1
3123912150867532904,1
4702607995709465702,1
9972641923092309898,1
4683498388367209057,1
8669188840409334896,1
5239443997664471780,1
7409212089173005419,1
0326671467950015369,1
3971437232101672363,1
5590346028970118637,1
7320316463607490470,1
4978615078876520186,1
1160204963389257110,1
1863054289029276927,1
7406115845826379585,1
481908738776854721,1
7974747290395913881,1
3139557393320178005,1
5000038412644544234,1
0696402585067597025,1
4988517937139937145,1
719763844495200108,1
2584510701660360932,1
4858273376881706416,1
4589600625729389981,1
670722016498267,1
5540724306740925009,1
0774683549194942679,1
702564824793049879,1
43770390702768717,1
7910024669087314685,1
261669143599587910,1
3295470093238310609,1
5812572929202367937,1
0183218035021860438,1
8901669251595592717,1
4068647851581953751,1
5694129009662162026,1
6051908919929899878,1
8836653961966700632,1
5095160033645238155,1
6502669189284720026,1
3968161907727043413,1
4119448635627172848,1
6800222720402902812,1
3023987141192180181,1
1766574900434071803,1
0747495245317338179,1
950676259034422019,1
9519477824585169413,1
733935141047180090,1
395878510909861453,1
9469111554165256569,1
4737716055104076300,1
4558105233287956143,1
4136548162519732667,1
0344842538233543056,1
1996186587769697436,1
0600237702497948707,1
8639551625314218823,1
9398183614127015265,1
8619176562727195197,1
5922545727078253740,1
2426971819031028277,1
4735021838862063499,1
6110519761832647760,1
0128830210468179660,1
4845279744517849233,1
9849207490494234255,1
3221924345288041502,1
135731445166621856,1
5853503812958964619,1
3972481072101395162,1
8636734210084365159,1
6361004934465135812,1
1656927552400476520,1
5286653810282194817,1
3768290334696236505,1
7650573166348333190,1
0396718069117936487,1
3927815032450931689,1
6623534661206058922,1
4552275222012095884,1
081281456829886913,1
0193361951439999580,1
5700698092270325485,1
9745349280610704454,1
9583683554162057560,1
7704158452522194564,1
8910769516525628891,1
5691228855195017010,1
3865564441178018664,1
354395446181773550,1
5437013238128269518,1
3300270774997102814,1
5056841379210378275,1
1465921528988606892,1
7588981130462792361,1
4587210925935196615,1
2868753573471668678,1
2728484397720314035,1
5470058724579220258,1
0647701940544723891,1
6325377874048923314,1
5508164318239659326,1
594511863093043281,1
0405996727678488611,1
1929978424426570223,1
7933171750259720017,1
4071592194862232855,1
6586739058236606680,1
8836497360273825933,1
5546793669751235607,1
7404717158530100525,1
9677097503012171995,1
8122366843389255502,1
4327496999674034617,1
3308953517897542519,1
