clientId,predicted_label,label,Record Count
995905557.1552214948,1,1,2
786879108.1555443268,1,1,2
694904081.1549565936,1,0,2
828977124.1554760567,1,0,2
475165193.1554923766,1,1,2
430151313.1549969447,1,1,2
118714488.1546451774,1,1,2
408750385.1561554940,1,1,2
200189568.1557666816,1,1,2
132279664.1538251515,1,1,2
917568756.1565277570,1,0,2
559526616.1546455388,0,0,2
243048071.1565200187,0,0,2
231728750.1548162948,1,1,2
706407921.1566298772,0,0,2
487586485.1557337054,0,0,2
102570429.1566043258,1,1,2
434058664.1555729182,1,1,2
392120043.1562151577,0,0,2
575877271.1538933030,1,0,2
659396448.1552764898,0,0,2
238733276.1546458233,0,0,2
972337544.1549401353,0,0,2
701822107.1559806620,1,0,2
790446147.1534329239,0,0,2
887027222.1519146782,1,1,2
290155413.1556092480,1,1,2
414203456.1555530630,0,0,2
872391634.1552569534,0,0,2
509735853.1562133012,0,0,2
176227393.1551626849,1,1,2
493192157.1552830643,1,1,2
604862509.1544142985,0,0,2
586366381.1531671506,0,0,2
954325159.1565250401,1,0,2
806909201.1556215182,0,0,2
951214896.1557509399,1,0,2
452696599.1567879005,0,0,2
744943986.1563947597,0,0,2
198329914.1548704275,0,0,2
891870360.1567940864,0,0,2
265662602.1565348567,0,0,2
693738418.1556474361,0,0,2
563376018.1569927559,0,0,2
655727155.1532247426,1,1,2
723080475.1551790699,0,0,2
534782972.1561550173,1,1,2
302336347.988940266,0,0,2
911353801.1547665080,1,0,2
458992630.1543522819,1,1,2
138723743.1550135214,1,0,2
908296663.1562061650,1,1,2
767072644.1565953107,0,0,2
489232911.1557675241,1,1,2
629468559.1560250756,0,0,2
651837701.1550289633,1,1,2
899074032.1558979803,0,0,2
893938250.1556647241,1,1,2
974188266.1566042353,0,0,2
137312008.1552478386,1,0,2
824276549.1563788480,1,1,2
185207176.1552062330,1,1,2
443383875.1537359746,0,0,2
113629744.1561576128,0,0,2
916227725.1550373055,1,1,2
484277472.1506692934,1,1,2
748604579.1549540586,1,1,2
279726770.1560794025,0,0,2
263689112.1567706331,0,0,2
861990170.1556205574,1,1,2
799352773.1529750565,0,0,2
681386988.1562176262,0,0,2
987792596.1554559679,0,0,2
472405548.1561758251,1,1,2
932250885.1546368259,1,0,2
149673127.1561373856,0,0,2
389863001.1548861939,1,1,2
756609227.1565558701,1,1,2
199849884.1555847829,0,0,2
312221657.1551872451,1,1,2
532830967.559997288,0,0,2
336147383.1540643660,1,1,2
705983607.1552051860,1,1,2
460246111.1564938767,0,0,2
887497042.1566731177,0,0,2
858299545.1535400599,1,1,2
648578719.1557095184,1,1,2
922310824.1558717794,1,1,2
165211160.1562602474,1,1,2
719730659.1550068792,0,0,2
372332261.1546807553,1,1,2
577928231.1545904502,0,0,2
260782024.1551447038,0,0,2
767515474.1556634565,1,1,2
213414572.1560945448,0,0,2
233751888.1547235667,1,1,2
989669062.1547821581,0,0,2
997989646.1563105528,0,0,2
984219061.1561212660,1,1,2
464211265.1559684678,1,1,2
422267011.1564293542,1,0,2
897576970.1546301997,1,0,2
813377484.1567143505,0,0,2
442447445.1558883387,1,1,2
383470115.1560795207,1,1,2
476612097.1565848535,0,0,2
741758918.1561655783,1,1,2
646983418.1556911043,1,1,2
620442593.1550432866,1,1,2
179678397.1561339015,1,1,2
165135170.1549483866,1,0,2
319353828.1545757276,0,0,2
379041185.1547318778,1,0,2
282596948.1565114330,0,0,2
746417402.1540743223,1,1,2
871496343.1564329802,1,1,2
445014335.1552044214,0,0,2
980811296.1543866663,1,1,2
108229578.1555254221,1,1,2
471555152.1564768692,1,0,2
515773044.1561479889,0,0,2
188688721.1558258490,1,1,2
506778678.1556739727,1,1,2
433042135.1566593524,0,0,2
345270100.1558449495,1,1,2
105696287.1535907429,0,0,2
881355633.1547380680,0,0,2
470896099.1537432694,1,1,2
766344550.1561456289,1,1,2
541935877.1564761233,1,1,2
161527762.1565299320,1,1,2
368396546.1559557655,1,1,2
714504087.1554610904,1,1,2
371399391.1563037268,1,1,2
654760044.1558809954,1,1,2
964236872.1550054901,1,1,2
851780995.1561128209,1,1,2
